2bg9	10.434678180873066 12.576607047497445 10.911062238710588 
2bg9	10.207529222582854 12.401500164327713 10.902291901249631 
2bg9	10.906530726218287 12.33621709750152 10.984154419290167 
2bg9	11.243489997081207 11.781712764783093 10.751165710442692 
2bg9	10.513602135746067 12.047800321360267 10.99234045755502
3jad	10.654229795524925 12.729686149879734 10.688402705298993 
3jad	10.653402397991465 12.729621216749615 10.692919997426964 
3jad	10.654110600465076 12.728155668375098 10.68783181262127 
3jad	10.654187307135304 12.731632463994087 10.69059786286852 
3jad	10.653740080843875 12.726949665173548 10.689643913419925
4pir	11.310522986697084 12.206136408480091 10.261606135141124 
4pir	11.334049669014316 12.343809830412697 10.329039441672794 
4pir	11.335804509077672 12.315871555513674 10.258642054309732 
4pir	11.323577911835393 12.21563762258796 10.16607031266988 
4pir	11.285560375212283 12.218094822213237 10.175214573309535
5cfb	9.69325125953394 12.288449467686528 10.849851894683264 
5cfb	10.088636846283443 11.401064337459555 10.636189667233333 
5cfb	10.780802491565044 12.307331380500978 10.394965038692497 
5cfb	10.841930317650224 12.553217354414684 10.797019919505066 
5cfb	10.601133588258131 12.894991539312988 10.676913902375933
6be1	12.388672609782509 13.71829842216129 11.229236143221778 
6be1	11.916743978738545 13.561699758164128 10.547100305325198 
6be1	12.425362306267143 13.64523638158633 11.365944175300296 
6be1	12.12263197841505 13.50702110640507 10.944930463733014 
6be1	12.62031514835467 13.834948877902 11.11363602982881
6his	11.68287998440004 12.901302578493025 10.56969943336425 
6his	11.682211080927809 12.903991044255823 10.573909843898953 
6his	11.683108178403193 12.907046042911263 10.57343922195279 
6his	11.681644052640284 12.89828115063578 10.569915146217857 
6his	11.683319191120356 12.91064005380223 10.575989165009128
6huk	10.996292414416832 11.958093213119188 10.189448698020286 
6huk	10.685329871628364 11.575347529484448 10.147146205126175 
6huk	11.149101591886009 12.67989506353477 10.251894035690169 
6huk	11.098708092984467 12.876937649010376 10.878115824663487 
6huk	9.643435481028831 10.99195214911778 9.919320523725242
6ubs	11.379762329827047 14.546505393632607 10.788160136043992 
6ubs	11.382262314191221 14.564799920541413 10.797496001177413 
6ubs	11.378033178025133 14.545666654458577 10.789236805923126 
6ubs	11.379085306305047 14.537061555018964 10.782988201637009 
6ubs	11.384799675050827 14.537019135129599 10.777602835390041
7koo	10.583808992115268 12.381812883258469 10.064744413611267 
7koo	10.582645224507827 12.373544843749773 10.031061556810927 
7koo	10.583203980584567 12.368037860172274 10.034153983519458 
7koo	10.582248201169195 12.369864067356186 10.02198263627832 
7koo	10.582404516220294 12.385956909888847 10.044196649250688
