3jae	11.148910550601741 12.632699551828734 9.781182716625073 
3jae	11.151308677069936 12.637823704821676 9.781784840563777 
3jae	11.150810972512442 12.637991144258264 9.782518797810038 
3jae	11.150966462579458 12.63711127000638 9.781820062324881 
3jae	11.149040959406634 12.635299848913935 9.78263541429279
6dg8	12.613803928341486 15.751189815654975 11.475396341009953 
6dg8	12.611921967519484 15.719245768189998 11.450471815794844 
6dg8	12.59933088723219 15.723106131099978 11.4818412882497 
6dg8	12.605646998554052 15.736567216515166 11.480557243208752 
6dg8	12.601665129560697 15.74299025122405 11.495032041319163
6hin	13.462345576282072 14.809995304459287 9.479838125664916 
6hin	13.461667991862216 14.800623740639631 9.478294241408118 
6hin	13.461988693666648 14.80630611492496 9.481380663205758 
6hin	13.462620948386252 14.809795455452642 9.473128546552527 
6hin	13.461612721227922 14.800288972801846 9.477756132256847
6ud3	11.27221188072424 13.569287664480983 9.466540755283393 
6ud3	11.270552710516926 13.548357781352871 9.45041127115572 
6ud3	11.273176123312107 13.570382759934109 9.46372015127547 
6ud3	11.274276643812263 13.545653105241847 9.43216492370336 
6ud3	11.271511386468557 13.532455666431208 9.428202134486453
6y5a	10.445110938997404 13.950442474286666 10.07865682666169 
6y5a	10.48691517242417 14.810197227188931 11.133709041528663 
6y5a	10.527580987439775 13.659123153001733 9.95122946115901 
6y5a	10.763670392360046 14.667919776015836 10.427057270010252 
6y5a	10.705099596766043 15.011304536271442 11.47092516168454
7kox	11.068900594829135 15.474206108762392 9.433716745172061 
7kox	11.068839453549824 15.471960791700075 9.429945330872211 
7kox	11.068998387385015 15.463731611554577 9.41729600007692 
7kox	11.06860203723724 15.470659279336768 9.424219833705076 
7kox	11.068313571580795 15.48043889880551 9.4314830054516
